ï»¿article_link_1,article_link_1/_text,article_link_1/_title,article_image,article_image/_alt,article_link_2,article_link_2/_text,article_link_2/_title,sourcepref_value,label,date_value,date_value_dates,snippet_description,snippet_description_dates,snippet_value,_PAGE_NUMBER
http://thenewstelegraph.com/2015/11/27/david-cameron-outlines-case-for-airstrikes-against-isis-in/,,TheNewsTelegraph.com (blog),https://t2.gstatic.com/images?q=tbn:ANd9GcQUZ1CG-EvzmAkmaoAmnqo_FzlljZzLEN4i7gmLxxQrNi2vnJHQr1EKhz9ttJerNE4OiqtJdhs,,http://thenewstelegraph.com/2015/11/27/david-cameron-outlines-case-for-airstrikes-against-isis-in/,David Cameron outlines case for airstrikes against Isis in Syria,,TheNewsTelegraph.com (blog),-,â€_2 hours agoâ€_,,"The Royal Air Force is part of a US-led coalition attacking ISIS militants in Iraq, but not in Syria. But after Islamic State claimed responsibility for killing 130 people in Paris, some members of parliament who were reluctant to launch further",,...,2
,,,,,http://www.politics.co.uk/blogs/2015/11/27/does-the-anti-war-left-realise-war-already-started,Does the anti-war left realise war already started?,,Politics.co.uk (blog),-,â€_3 hours agoâ€_,,"The decision to bomb Syria is despairingly complicated, but sometimes the most simple points need to be made. The first is that there is already a war in Syria. This should not need saying. At the start of this year, the UN estimated that nearly a",,...,2
http://newzy.net/2015/11/27/labour-leadership-thousands-of-members-just-want-anyone-to.html,,Newzy,https://t1.gstatic.com/images?q=tbn:ANd9GcTbBm3oVaRVCSUPP_9Qb8Ra9kDHcagQ4wFVxzKsO_JofuygdhK5DvkNB0JfSeFRgcz28HVaQMLe,,http://newzy.net/2015/11/27/labour-leadership-thousands-of-members-just-want-anyone-to.html,Labour leadership: Thousands of members just want anyone to replace Jeremy Corbyn,,Newzy,-,â€_3 hours agoâ€_,,"Nearly two-thirds of voters believe Labour is becoming less electable because of the changes it is going through under Jeremy Corbyn. He added: ""In the end that's a decision for the electorate, as I discovered to my cost"". ""He has set out what he",,...,2
http://www.voltairenet.org/article189448.html,,Voltaire Network,https://t3.gstatic.com/images?q=tbn:ANd9GcRppEJ3Ov0tpXXXf7FlMnKS5jhi3yNX7r1KqWTmbTO-eVGaLJ0cU0NppvzeHwYzriNWcziVTsWF,,http://www.voltairenet.org/article189448.html,David Cameron's Response to the Parliament's Report on Syria,,Voltaire Network,-,â€_5 hours agoâ€_,,Whether or not to use military force is one of the most significant decisions that any government takes. The need to do so most often arises because of a government's first duty: the responsibility to protect its citizens. Decisions to use force are,,...,2
,,,,,http://seatingchair.com/2015/11/27/questions-about-uk-airstrikes-in-syria-35897.html,Questions About UK Airstrikes In Syria,,Seating Chair,-,â€_5 hours agoâ€_,,"David Cameron is engaged in what seems to be an increasingly successful campaign to persuade the House of Commons to expand British military air strikes into Syria. It concluded there should be no extension of air strikes without ""a coherent global ...",,,2
,,,,,http://nysepost.com/cameron-is-making-the-case-for-bombing-syria-57809,Cameron is making the case for bombing Syria,,NYSE Post,-,â€_5 hours agoâ€_,,"The Prime Minister said the United Kingdom could not afford to ""stand aside"" from the fight and it was ""morally"" unacceptable to leave the US, France and other allies to carry the burden. ""This is about learning the lessons of Iraq"", Cameron said",,...,2
,,,,,http://www.maltonmercury.co.uk/news/national/david-cameron-urges-wavering-labour-mps-to-back-military-intervention-in-syria-1-7593373,David Cameron urges wavering Labour MPs to back military intervention in Syria,,Malton and Pickering Mercury,-,â€_6 hours agoâ€_,,"David Cameron has urged wavering Labour MPs to back military intervention in Syria, telling them to ""vote on the basis of the arguments"". The Prime Minister said there was a ""compelling"" case for airstrikes and insisted MPs would allow the country to",,...,2
http://www.itv.com/news/update/2015-11-27/benn-backs-airstrikes-but-will-not-resign-from-shadow-cabinet/,,ITV News,https://t2.gstatic.com/images?q=tbn:ANd9GcSLDcNomkK_E1gMWQk3_Ea5MrqGRA3vumXiuL9TFnYbzrz3pxzTPdD3mNvorUn-x3VGAI_MuvyJ,,http://www.itv.com/news/update/2015-11-27/benn-backs-airstrikes-but-will-not-resign-from-shadow-cabinet/,Benn 'backs airstrikes but will not resign from shadow cabinet',,ITV News,-,â€_6 hours agoâ€_,,"Shadow foreign minister Hilary Benn has said he will not resign from Labour's front bench - despite backing airstrikes in Syria, opposing the position taken by leader Jeremy Corbyn. Hilary Benn will not resign, despite backing airstrikes, he said",,...,2
http://wwntradio.com/2015/11/27/cameron-urges-mps-to-back-military-action-in-syria.html,,wwntradio,https://t2.gstatic.com/images?q=tbn:ANd9GcQbGR1hEkypx5GrAvtCL6Xt5xAkH5UVYTSyWLxnOk0pZbWSqckAXwSWLmdNEHoXZXwV5X3KR4j8,,http://wwntradio.com/2015/11/27/cameron-urges-mps-to-back-military-action-in-syria.html,Cameron urges MPs to back military action in Syria,,wwntradio,-,â€_6 hours agoâ€_,,"Cameron argued military intervention will be legal because UN Security Council Resolution 2249 calls on member states to take ""all necessary measures"" to ""eradicate the safe haven"" IS has established in Syria and Iraq. Cameron promised to only hold a ...",,,2
http://sputniknews.com/middleeast/20151127/1030841745/france-uk-isil-syria-airstrikes.html,,Sputnik International,https://t2.gstatic.com/images?q=tbn:ANd9GcRG-0CcBI4DE42SEGP-qDqIQSdP3dFhIoO_L6KFoGuMsVRzY5tqysmn8XFT1fyAUCu5vJ-QYFtZ,,http://sputniknews.com/middleeast/20151127/1030841745/france-uk-isil-syria-airstrikes.html,'Degrade & Destroy': Paris Urges UK to Expand Anti-ISIL Airstrikes to Syria,,Sputnik International,-,â€_7 hours agoâ€_,,"Paris needs London's military capabilities to win the war against ISIL, the French defense minister said. Kurdish Peshmerga fighters keep watch during the battle with Islamic State militants on the outskirts of. Â© REUTERS/ Azad Lashkari. French FM",,...,2
http://www.panarmenian.net/eng/news/201330/,,PanARMENIAN.Net,https://t0.gstatic.com/images?q=tbn:ANd9GcSFdIVYkJcGyhLeJrzlMzNsPl2n_aesxx3SReVwHiKmsevOmc6DmHl3u3R3YwHmPwQSmqPHpyc,,http://www.panarmenian.net/eng/news/201330/,France appeals to Britain urging joint anti-IS fight: Guardian,,PanARMENIAN.Net,-,â€_7 hours agoâ€_,,"PanARMENIAN.Net - The French government has taken the highly unusual step of expressing the hope that the Royal Air Force â€œwill soon be working side by side with their French counterpartsâ€ù in taking military action in Syria, the Guardian reports.",,,2
,,,,,http://www.ledgergazette.com/britain-to-join-syria-air-strikes-against-islamic-state-group-in-syria/155442/,Britain to join Syria air strikes against Islamic State group in Syria?,,Ledger Gazette,-,â€_7 hours agoâ€_,,Cameron is keen to avoid a repeat of 2013 when he lost a parliamentary vote on airstrikes in Syria. In a Commons statement he is expected to say: â€œWhether or not to use military force is one of the most significant decisions that any government takesâ€ù.,,,2
http://www.breakingnews.ie/world/jeremy-corbyn-faces-uk-shadow-cabinet-revolt-over-syria-is-air-strikes-707649.html,,BreakingNews.ie,https://t0.gstatic.com/images?q=tbn:ANd9GcSs1-GPcRtnVQx9Ygk6Y6EaOKmfYfQwR_rrCasJFrasXmIIHQEEwntRv-jRiHrezUwP0Ap-_zM,,http://www.breakingnews.ie/world/jeremy-corbyn-faces-uk-shadow-cabinet-revolt-over-syria-is-air-strikes-707649.html,Jeremy Corbyn faces UK shadow cabinet revolt over Syria is air strikes,,BreakingNews.ie,-,â€_8 hours agoâ€_,,"Jeremy Corbyn is struggling to contain a shadow cabinet revolt after the UK Labour leader said he could not support RAF air strikes against Islamic State in Syria. As divisions among Labour's top team spilled out into the open, shadow ministers were",,...,2
http://www.nrttv.com/EN/Details.aspx?Jimare=4226,,NRT,https://t3.gstatic.com/images?q=tbn:ANd9GcRkSVcwtt0K5UQEHJq3U2B7WlX38IC88lEvt-_Mpl3H08sHKyD6-LeG6xx4FfX4T4AhXt0uXoAl,,http://www.nrttv.com/EN/Details.aspx?Jimare=4226,Cameron urges parliament to authorize air strikes against IS in Syria,,NRT,-,â€_8 hours agoâ€_,,"LONDON -- United Kingdom Prime Minister David Cameron on Thursday appealed to parliament to authorize air strikes against the Islamic State (IS) in Syria. Following the Paris terror attack on Nov. 13, the UK government immediately put air strikes in",,...,2
http://www.jewocity.com/blog/labour-shadow-cabinet-warned-not-to-oppose-jeremy-corbyn-over-syria/162788,,Jewocity.com (press release) (blog),https://t2.gstatic.com/images?q=tbn:ANd9GcRpujJn3PjbF9iLM-NrKedXatoScWBNudB5-KzHRaWizy9HV0h5ERPzdbtTIpOPBQTfIXSt5nY,,http://www.jewocity.com/blog/labour-shadow-cabinet-warned-not-to-oppose-jeremy-corbyn-over-syria/162788,Labour shadow cabinet warned not to oppose Jeremy Corbyn over Syria,,Jewocity.com (press release) (blog),-,â€_9 hours agoâ€_,,"He has made clear that he will not seek a vote in the House of Commons on backing air strikes in Syria unless he is confident a majority of MPs will back him. While British forces are taking part in air strikes on Daesh targets in Iraq, they are not",,...,2
http://www.siasat.com/news/air-strikes-syria-make-britain-safer-875766/,,The Siasat Daily,https://t3.gstatic.com/images?q=tbn:ANd9GcQyzVwnLPiY-lkMAgCV01YjdzPu2xwQaFeUJlVn3IXzuZUbz6PQk4pIZ2sX3-lbOOUzVbo8JXdW,,http://www.siasat.com/news/air-strikes-syria-make-britain-safer-875766/,'Air strikes against IS in Syria to make Britain safer',,The Siasat Daily,-,â€_10 hours agoâ€_,,London: British Prime Minister David Cameron said that British air strikes against Islamic State (IS) targets in Syria will make his country safer. Launching air strikes against IS militants in Syria would not make Britain a bigger target for terrorist,,...,2
http://nysepost.com/uks-labour-leader-rejects-camerons-appeal-for-anti-is-57563,,NYSE Post,https://t3.gstatic.com/images?q=tbn:ANd9GcRp_msjc7I0_2FJCo0hx-K2G7bZ-0OpC0RtVQe-NAWmWJMWV5XvUNglJ21pnZeFAvM-2i76S2ud,,http://nysepost.com/uks-labour-leader-rejects-camerons-appeal-for-anti-is-57563,UK's Labour leader rejects Cameron's appeal for anti-IS airstrikes,,NYSE Post,-,â€_11 hours agoâ€_,,"But Crispin Blunt, t he chairman of the Commons Foreign Affairs Committee (FAC) - which earlier this month released a report urging caution over Syria - said he was now ready to back military action. ""The longer Isil is allowed to grow in Syria, the",,...,2
http://oracleherald.com/2015/11/27/british-air-strikes-on-syria-jeremy-corbyn-writes-letter-to.html,,OracleHerald.com (blog),https://t0.gstatic.com/images?q=tbn:ANd9GcQ93juXzgA-MjzicOKchJAiRLDEquNohL_-ZLu5xlHVqr8bfV8ZJckLigxd69wC_wx0amsHMzM,,http://oracleherald.com/2015/11/27/british-air-strikes-on-syria-jeremy-corbyn-writes-letter-to.html,British air strikes on Syria: Jeremy Corbyn writes letter to Labour MPs,,OracleHerald.com (blog),-,â€_13 hours agoâ€_,,"""I firmly support the action that President Hollande has taken to strike ISIL (Islamic State) in Syria and it is my firm conviction that Britain should do so too"", Cameron said at a joint news conference after his meeting with Hollande. He indicated",,...,2
http://www.itv.com/news/update/2015-11-27/corbyn-cancels-by-election-trip-amid-labour-row-over-syria/,,ITV News,https://t1.gstatic.com/images?q=tbn:ANd9GcSxyQAms-BC1dUkvWOQmP5T3-3f-e5wAWDywbmmON6vld58-2zuYlPKnR5c4pO1XezO_tU0tk31,,http://www.itv.com/news/update/2015-11-27/corbyn-cancels-by-election-trip-amid-labour-row-over-syria/,Corbyn cancels by-election trip amid Labour row over Syria,,ITV News,-,â€_14 hours agoâ€_,,Jeremy Corbyn has cancelled a trip to Oldham to campaign in a by-election amid a shadow cabinet revolt over airstrikes on Syria. The Labour leader was due to travel to the Oldham West constituency on Friday to support Jim McMahon ahead of next week's ...,,,2
,,,,,http://www.voicechronicle.com/113668-27-should-britain-join-airstrikes-against-is-in-syria/,Should Britain join airstrikes against IS in Syria?,,Voice Chronicle,-,â€_15 hours agoâ€_,,"But, breaking with a British political tradition of using a â€œparty whipâ€ù to keep party discipline, his finance spokesman said Labour was considering allowing its MPs to vote as they wish, which may increase support for Cameron. Cameron said British ...",,,2
